"","...1","category","name","price","ratings","no_of_reviews"
"42",42,"Lipstick","e.l.f. - SRSLY Satin Lipstick Taffy - 0.12 oz (3.5 g)","$75.42","4.2 out of 5 stars",1294
"43",43,"Lipstick","Max Factor Colour Elixir Lipstick Rosewood 030 Nourishing Lipstick with a Diamond Intense Colour Results Colour 030 Rosewood","$24.78","4.5 out of 5 stars",1318
"44",44,"Lipstick","BestLand 12Pcs Matte Lipstick Lip Makeup Kit, Velvety Liquid Lipstick Waterproof Long Lasting Durable Nude Zodiac Signs Lip Gloss Beauty Cosmetics Gift Box Makeup Set Kit (12 Piece Set)","$42.20","4.2 out of 5 stars",140
"45",45,"Lipstick","L'Oréal Paris Color Riche Intense Volume Matte Lipstick 480 Plum Dominant (Packaging May Vary)","$74.87","3.9 out of 5 stars",140
"46",46,"Lipstick","Elizabeth Arden Beautiful Color Moisturizing Lipstick","$42.17","4.4 out of 5 stars",310
"47",47,"Lipstick","Max Factor Colour Elixir Moisture Kiss Lipstick #095 Dusky Rose 4G","$31.23","4.4 out of 5 stars",1060
"48",48,"Lipstick","Honest Beauty Liquid Lipstick Vegan Formula","$84.74","3.6 out of 5 stars",2791
"49",49,"Lipstick","Christian Dior Rouge Dior Forever Liquid Matte - 458 Forever Paris For Women 0.2 oz Lipstick","$23.40","4.1 out of 5 stars",9
"50",50,"Lipstick","Kiko MILANO - Smart Fusion Lipstick Rich and Nourishing Lip Stick With a Bright Finish | Long Lasting Lipstick | 422 Red | Cruelty Free Makeup | Professional Makeup Lipstick | Made in Italy","$39.38","4.1 out of 5 stars",123
"51",51,"Lipstick","Maybelline New York Lipstick, Super Stay Matte Ink Coffee, Liquid, Matte and Long-Lasting, No. 275 Mocha Inventor, 5 ml","$45.04","4.5 out of 5 stars",205
"52",52,"Lipstick","Max Factor Colour Elixir Velvet Matte Lipstick #060 Mauve 4G",NA,"4.1 out of 5 stars",193
"53",53,"Lipstick","Estee Lauder Pure Color Envy Sculpting Lipstick",NA,"3.4 out of 5 stars",1633
"54",54,"Lipstick","Moon Glow - Blacklight Neon UV Lipstick 0.16oz - Intense Blue – Glows Brightly Under Blacklights/UV Lighting!",NA,"4.3 out of 5 stars",167
"55",55,"Lipstick","Maybelline New York Lipstick, Super Stay Matte Ink Coffee, Liquid, Matte and Long-Lasting, No. 270 Cocoa Connoisseur, 5 ml",NA,"4.4 out of 5 stars",253
"56",56,"Lipstick","Maybelline New York Color Sensational Shine Lipstick - 060 Chocolate Lust",NA,"4.7 out of 5 stars",240
"57",57,"Lipstick","byAlegory Acrylic Lipstick Makeup Organiser Designed For Larger Base Lipsticks | 12 Spaces",NA,"4.3 out of 5 stars",1407
"58",58,"Lipstick","NYX PROFESSIONAL MAKEUP Shout Loud Satin Lipstick Cali",NA,"4.1 out of 5 stars",5918
"59",59,"Lipstick","Bourjois Rouge Edition Velvet Liquid Lipstick, Nude-Ist, 6.7ml",NA,"4.3 out of 5 stars",900
"60",60,"Lipstick","Yves Saint Laurent Rouge Volupte Shine Oil-In-Stick Lipstick for Women, 3.25 millilitre",NA,"4.4 out of 5 stars",630
"61",61,"Lipstick","Lipcote Original Lipstick Sealer Long Lasting Lipstick Sealer 7 ml - Pack of 2",NA,"3.1 out of 5 stars",10
"62",62,"Lipstick","3INA MAKEUP - Vegan - The Lipstick 501 - Classic Beige - Matte Lipstick - Highly Pigmented Lip Pen - Matte Intensive Colour - Creamy Vanilla Fragrance - Creamy Texture - Cruelty Free",NA,"4.3 out of 5 stars",12497
"63",63,"Lipstick","Oulac Soft Matte Lipstick Red Cream to Powder Lip Stick Blush 2 in 1, Hydrating, Colour Rich, Nourishing Lip Makeup, With Rose Oil, Vegan Cruelty-Free, 3.6 grams / 0.13 ounces Taste of Love(Y13)",NA,"5.0 out of 5 stars",1
"64",64,"Lipstick","NYX Matte Lipstick 0.16 Ounce Sweet pink",NA,"4.1 out of 5 stars",6347
"65",65,"Lipstick","INIKA Organic Lipstick 4.2g - Spring Bloom",NA,"4.1 out of 5 stars",1110
"66",66,"Lipstick","OULAC Metallic Shine Glitter Lipstick, Nude High Impact Lipcolor, Lightweight Soft and Ultra Hydrating, Long Lasting, Vegan & Cruelty-Free, Full-Coverage Lip Color 4.3 g/0.15 Sahara Gold(10)",NA,"4.5 out of 5 stars",1796
"67",67,"Lipstick","Exhibitionist Demi Matte Lipstick - 470 Peacock by CoverGirl for Women - 0.12 oz Lipstick",NA,"4.1 out of 5 stars",291
"68",68,"Lipstick","Revlon Super Lustrous Lipstick, High Impact Lipcolour with Moisturising Creamy Formula, Infused with Vitamin E and Avocado Oil in Pink Pearl, Cappuccino (353)",NA,"4.4 out of 5 stars",1803
"69",69,"Lipstick","KIKO MILANO - Smart Fusion Lipstick Rich and nourishing lipstick with a bright finish. Dolor Peachy Nude 402",NA,"4.4 out of 5 stars",7258
"70",70,"Lipstick","Rimmel London The Only 1 Matte Lip Colour, Trendsetter",NA,"4.4 out of 5 stars",154
"71",71,"Lipstick","Maybelline New York Superstay Matte Ink Liquid Lipstick - 35 Creator",NA,"3.9 out of 5 stars",6
"72",72,"Lipstick","3Ina The Lipstick - 845 Sky Blue For Women 0.16 oz Lipstick",NA,"4.3 out of 5 stars",1301
"73",73,"Lipstick","Christian Dior Dior Addict Hydrating Shine Lipstick - 720 Icone For Women 0.11 oz Lipstick (Refillable)",NA,"4.2 out of 5 stars",1009
"74",74,"Lipstick","Bourjois Rouge Velvet The Lipstick, Ma Gni-Fig",NA,"4.3 out of 5 stars",874
"75",75,"Lipstick","3INA MAKEUP - The Lipstick 900 - Black Matte Lipstick - Matte Lip Pen with Vitamin E and Shea Butter - Long-Lasting Highly Pigmented Cream - Vanilla Fragrance - Vegan - Cruelty Free",NA,"4.2 out of 5 stars",810
"76",76,"Lipstick","Revlon Ultra HD Lipstick, 830 Rose, 0.1 Ounce",NA,"4.1 out of 5 stars",2286
"77",77,"Lipstick","Bourjois Rouge Velvet The Lipstick 01 Hey Nude.",NA,"4.3 out of 5 stars",7546
"78",78,"Lipstick","Black Radiance Perfect Tone Lipstick Lip Color Boss Brown",NA,"3.9 out of 5 stars",87
"79",79,"Lipstick","Bobbi Brown Crushed Lip Colour Travel Size Lipstick 0ml Ruby",NA,"4.5 out of 5 stars",348
"80",80,"Lipstick","Stila Cosmetics Stila Stay All Day Liquid Lipstick - Beso, 3 ml",NA,"3.7 out of 5 stars",339
"81",81,"Lipstick","BUTTER LIPSTICK HUBBA HUBBA","$41.36","3.9 out of 5 stars",87
"82",82,"Lipstick","MAC Amplified Creme Lipstick - Dubonnet for Women - 0.1 oz Lipstick","$58.06","4.5 out of 5 stars",348
"83",83,"Lipstick","GR Velvet Matte Lipstick Crayon","$39.38","3.8 out of 5 stars",8
"84",84,"Lipstick","L'Oreal Paris Infallible Matte Max Lipstick Number 002, Like a Virgin 11 g","$45.04","3.7 out of 5 stars",339
"85",85,"Lipstick","Allazone 26 PCS DIY Lipstick Mould Tool Set, Lipstick Mould Silicone Mould with Lipstick Demoulder, Bracket, Lipstick Tube, Ring DIY Mold Crafts Tool","$19.91","3.8 out of 5 stars",7
"86",86,"Lipstick","Lancôme LAbsolu Rouge Cream Lipstick - 196 French Touch For Women 0.12 oz Lipstick","$55.67","3.6 out of 5 stars",32
"87",87,"Lipstick","Bobbi Brown Luxe Lip Color Lipstick ~ Neutral Rose ~ Travel Deluxe Size 0.08 oz","$37.13","5.0 out of 5 stars",1
"88",88,"Lipstick","Golden Rose - Longstay Liquid Matte Lipstick 5,5 ml - colour nC16","$56.14","4.4 out of 5 stars",185
"89",89,"Lipstick","ETUDE Fixing Tint Lipstick 4 g, 07 Cranberry Plum","$46.15","4.3 out of 5 stars",507
"90",90,"Lipstick","Revlon Super Lustrous Pearl Lipstick, Gentlemen Prefer Pink 450, 0.15 Ounce","$38.47","4.4 out of 5 stars",323
"91",91,"Lipstick","Moon Glow - 5g Neon UV Glitter Lipstick - Orange - Glows brightly under blacklights, Orange, 5g","$40.98","3.0 out of 5 stars",283
"92",92,"Lipstick","L.A. Colors Cream Lipstick, Angelic, 0.04 Ounce","$26.45","4.3 out of 5 stars",67
"93",93,"Lipstick","L'Oréal Infallible Matte Max Lipstick 6 Disturbia","$46.47","3.3 out of 5 stars",219
"94",94,"Lipstick","MAC Lipstick - Red by MAC for Women - 0.1 oz Lipstick","$54.61","4.5 out of 5 stars",494
"95",95,"Lipstick","MAC Cremesheen Lipstick - Modesty by MAC","$42.92","4.4 out of 5 stars",355
"96",96,"Lipstick","L’Oréal Paris Colour Riche Satin Lipstick 268 Rose Grenat","$35.63","5.0 out of 5 stars",1
"97",97,"Lipstick","Chanel Rouge Coco Ultra Hydrating Lipstick, 440 Arthur, 3.5g",NA,"4.4 out of 5 stars",131
"98",98,"Lipstick","Wet n Wild Megalast Lipstick, Long Lasting Moisturising Matte Lipstick, Extra Fine Formula with Micro Beads, Natural Extracts, Coenzyme Q10, Vitamin A & E, Mochalicious",NA,"3.8 out of 5 stars",1215
"99",99,"Lipstick","theBalm Meet Matte Hughes Long Lasting Liquid Lipstick",NA,"4.2 out of 5 stars",136
"100",100,"Lipstick","Ikos thinking Lipstick: Ever after Mood changed the Colour Black/cherry red",NA,"4.1 out of 5 stars",228
