"","category","name","reviewer","review","date","ratings"
"1","Lipstick","L'Oreal Paris Color Riche Intense Volume Matte Lipstick 41 Coral Irreverent","Interesting Find","This is what I call a beautiful red! I am a lover of lipstick and this red falls in the same category of my Fenti and Tom Ford favourites!","Reviewed in Australia on 2 February 2024","4.4 out of 5 stars"
"2","Lipstick","L'Oreal Paris Color Riche Intense Volume Matte Lipstick 41 Coral Irreverent","rainy","I am obsessed with Dior forever lipsticks, and this one is an exact replica both quality and staying ability.","Reviewed in Australia on 6 January 2024","5.0 out of 5 stars"
"3","Lipstick","L'Oreal Paris Color Riche Intense Volume Matte Lipstick 41 Coral Irreverent","Placeholder","Looks fantastic","Reviewed in Australia on 3 January 2024","5.0 out of 5 stars"
"4","Lipstick","L'Oreal Paris Color Riche Intense Volume Matte Lipstick 41 Coral Irreverent","Temperance V","Nice lipstick 💄","Reviewed in Australia on 24 October 2023","5.0 out of 5 stars"
"5","Lipstick","L'Oreal Paris Color Riche Intense Volume Matte Lipstick 41 Coral Irreverent","Jaime","Great colour and value for money. Highly recommend.","Reviewed in Australia on 3 October 2023","5.0 out of 5 stars"
"6","Lipstick","L'Oreal Paris Color Riche Intense Volume Matte Lipstick 41 Coral Irreverent","Morgen","Gorgeous shade","Reviewed in Australia on 25 April 2023","5.0 out of 5 stars"
"7","Lipstick","L'Oreal Paris Color Riche Intense Volume Matte Lipstick 41 Coral Irreverent","Trish","Love this lipstick smooth matte red I wear it all the time. BUT it comes out easily when you twist it at the base. Which is annoying","Reviewed in Australia on 2 October 2022","5.0 out of 5 stars"
"8","Lipstick","L'Oreal Paris Color Riche Intense Volume Matte Lipstick 41 Coral Irreverent","Gülsen Kücük","Ein toller Lippenstift eine wundervolle Farbe. Hält gut und trocknet nicht aus. Absolut zu empfehlen.","Reviewed in Germany on 2 January 2024","4.0 out of 5 stars"
"9","Lipstick","L'Oreal Paris Color Riche Intense Volume Matte Lipstick 41 Coral Irreverent","Client d'Amazon","Pas du tout aimé la couleur , matte oui mais très asséchant","Reviewed in Belgium on 4 November 2023","5.0 out of 5 stars"
"10","Lipstick","L'Oreal Paris Color Riche Intense Volume Matte Lipstick 41 Coral Irreverent","I","Il est incroyable ! Il est crémeux et hydratant ( super pour les lèvres sèches ) il a un fini mat, mais pas sec  vous pouvez ajouter un gloss par dessus pour un fini brillant, c’est canon aussi. Il tient pas mal. Le rapport qualité / prix est vraiment génial comparé à d’autres marques qui vendent à des prix exorbitants sans que le résultat soit « wouahe »J’ai acheté le 602 Nude admirable et j’aime beaucoup la couleur discrète, mais voyante. Ça fait de belles lèvres ! Le 482 le mauve indomptable incroyable également. Il est un peu plus prononcé, mais il fait son effet. Bref j’aime tropLiké svp 🤗❤️","Reviewed in France on 19 October 2023","1.0 out of 5 stars"
"11","Lipstick","L'Oreal Paris Color Riche Intense Volume Matte Lipstick 41 Coral Irreverent","El o.","Rouge à lèvre arrive cassé et abîmé vraiment pas sérieux","Reviewed in Belgium on 21 June 2023","4.4 out of 5 stars"
"12","Lipstick","L'Oreal Paris Color Riche Intense Volume Matte Lipstick 41 Coral Irreverent","El o.","Muy bonito","Reviewed in Spain on 8 January 2024","1.0 out of 5 stars"
"13","Lipstick","L'Oreal Paris Color Riche Intense Volume Matte Lipstick 41 Coral Irreverent","KOKO78","Tiens bien,  couleur superbe","Reviewed in Belgium on 28 December 2023","1.0 out of 5 stars"
"14","Lipstick","L'Oreal Paris Color Riche Intense Volume Matte Lipstick 41 Coral Irreverent","Ponsart","Bei diesem Preis hatte mir mehr von diesem Lippenstift erhofft, Farbe hält wenn überhaupt allerhöchsten 1 Std :-( NICHT ZU EMPFEHLEN !","Reviewed in Germany on 21 January 2023","5.0 out of 5 stars"
"15","Lipstick","L'Oreal Paris Color Riche Intense Volume Matte Lipstick 41 Coral Irreverent","Andrea + Torsten","In summary, L'Oréal Paris Color Riche Intense Volume Matte Lipstick combines intense colour, lasting power, and a moisturizing touch—a top-tier choice for matte lipstick enthusiasts.","Reviewed in the United Kingdom on 26 December 2023","4.0 out of 5 stars"
"16","Lipstick","L'Oreal Paris Color Riche Intense Volume Matte Lipstick 41 Coral Irreverent","Peng Yin","El color es tal cual se ve en las fotos. Dura en promedio de 6 a 9 hrs sin retoque, y no reseca los labios. Ya es el segundo que compro puesto que gustó más de lo esperado!","Reviewed in Mexico on 17 January 2024","1.0 out of 5 stars"
