"","category","name","reviewer","review","date","ratings"
"1","Lipstick","BINGBRUSH 3 Pcs Color Changing Change Lipstick Lip Balm,Korean Magic Lipstick Color Change Changing Lip Tint Tinted Stain Gloss Balm Long Lasting Waterproof Moisturizer Lipstick Set for Women","SS","Moisturising, feels soft on lips but not long lasting at all. It fades completely after a cup of coffee. 115 and120 are very pale in colour, especially, 115. 120 is deeper and has better lasting effects but still not long lasting overall.","Reviewed in Australia on 17 May 2023","4.1 out of 5 stars"
"2","Lipstick","BINGBRUSH 3 Pcs Color Changing Change Lipstick Lip Balm,Korean Magic Lipstick Color Change Changing Lip Tint Tinted Stain Gloss Balm Long Lasting Waterproof Moisturizer Lipstick Set for Women","Sunny","I got this one when I could not find the previous one I got from Kuckian. It works well, the colors are not very strong but it is good for me in daily use.","Reviewed in the United States on 17 February 2024","3.0 out of 5 stars"
"3","Lipstick","BINGBRUSH 3 Pcs Color Changing Change Lipstick Lip Balm,Korean Magic Lipstick Color Change Changing Lip Tint Tinted Stain Gloss Balm Long Lasting Waterproof Moisturizer Lipstick Set for Women","Kshiti Ojha","Waste of money with no return policy","Reviewed in India on 18 August 2023","5.0 out of 5 stars"
"4","Lipstick","BINGBRUSH 3 Pcs Color Changing Change Lipstick Lip Balm,Korean Magic Lipstick Color Change Changing Lip Tint Tinted Stain Gloss Balm Long Lasting Waterproof Moisturizer Lipstick Set for Women","Kshiti Ojha","I like the colors and the lipstick cases. I like the way it feels on, but one of them had a defect the lip stick had broken off inside the case. I am sending picture.","Reviewed in the United States on 5 February 2024","1.0 out of 5 stars"
"5","Lipstick","BINGBRUSH 3 Pcs Color Changing Change Lipstick Lip Balm,Korean Magic Lipstick Color Change Changing Lip Tint Tinted Stain Gloss Balm Long Lasting Waterproof Moisturizer Lipstick Set for Women","Janet Leandres","I absolutely love this product and everything about it","Reviewed in the United States on 1 February 2024","1.0 out of 5 stars"
"6","Lipstick","BINGBRUSH 3 Pcs Color Changing Change Lipstick Lip Balm,Korean Magic Lipstick Color Change Changing Lip Tint Tinted Stain Gloss Balm Long Lasting Waterproof Moisturizer Lipstick Set for Women","Janet Leandres","I purchased this for moisture, hydration and color.  I am very disappoint that the color does not deposit and remains translucent.  Additionally, it offer little moisture.","Reviewed in the United States on 17 January 2024","3.0 out of 5 stars"
"7","Lipstick","BINGBRUSH 3 Pcs Color Changing Change Lipstick Lip Balm,Korean Magic Lipstick Color Change Changing Lip Tint Tinted Stain Gloss Balm Long Lasting Waterproof Moisturizer Lipstick Set for Women","Vanessa Glispie","Son muy lindos los colores y muy naturales","Reviewed in the United States on 24 October 2023","3.0 out of 5 stars"
"8","Lipstick","BINGBRUSH 3 Pcs Color Changing Change Lipstick Lip Balm,Korean Magic Lipstick Color Change Changing Lip Tint Tinted Stain Gloss Balm Long Lasting Waterproof Moisturizer Lipstick Set for Women","Flo","It's moisturizing, altho it dries out sooner than I wish it would. But the color lingers pretty well, so I just add clear gloss or lip balm to my lips when they've become too dry & there's still enough color left. The darker pink is a bit too intense, kinda too Barbie Doll pink, so I apply it very lightly &/or just add a very light coat of the orange to change up the intenseness of it. The light pink is almost too un-intense, if that makes sense. (A happy medium between the 2 pinks would've appealed more to me). The orange is pretty intense also, so I apply that very lightly or add some of the light pink to it to make it not SO orange. But everyone is different, so you just have to play around/experiment with the colors, which is kinda fun. So while not perfect, I'm giving the trio 4 stars instead of 5. I enjoy the challenge.When all's said & done, I'd say, ""go ahead & give it a try"". It is returnable, so you don't have much to lose.","Reviewed in the United States on 3 September 2022","5.0 out of 5 stars"
"9","Lipstick","BINGBRUSH 3 Pcs Color Changing Change Lipstick Lip Balm,Korean Magic Lipstick Color Change Changing Lip Tint Tinted Stain Gloss Balm Long Lasting Waterproof Moisturizer Lipstick Set for Women","Luisamelia","Me gusto mucho muy lindo","Reviewed in the United States on 16 January 2024","3.0 out of 5 stars"
"10","Lipstick","BINGBRUSH 3 Pcs Color Changing Change Lipstick Lip Balm,Korean Magic Lipstick Color Change Changing Lip Tint Tinted Stain Gloss Balm Long Lasting Waterproof Moisturizer Lipstick Set for Women","gggirlygurl","I love shiny lip gloss with color. I purchased expensive brand of lip glosses in the past. I give this a try and end up loving these more than the expensive ones.","Reviewed in the United States on 19 December 2023","4.0 out of 5 stars"
"11","Lipstick","BINGBRUSH 3 Pcs Color Changing Change Lipstick Lip Balm,Korean Magic Lipstick Color Change Changing Lip Tint Tinted Stain Gloss Balm Long Lasting Waterproof Moisturizer Lipstick Set for Women","Julia Gadalla","I am absolutely in love with it! The colors are gorgeous and they apply smoothly and evenly on my lips.What I love most about these lipsticks is their color-changing feature. The color of the lipstick changes based on my body temperature, creating a unique and personalized shade that's perfect for me. It's like having a custom-made lipstick that's tailored to my skin tone","Reviewed in the United States on 31 March 2023","4.1 out of 5 stars"
"12","Lipstick","BINGBRUSH 3 Pcs Color Changing Change Lipstick Lip Balm,Korean Magic Lipstick Color Change Changing Lip Tint Tinted Stain Gloss Balm Long Lasting Waterproof Moisturizer Lipstick Set for Women","Me encantó","Los colores no son igual que la imagen","Reviewed in the United States on 27 August 2023","4.0 out of 5 stars"
"13","Lipstick","BINGBRUSH 3 Pcs Color Changing Change Lipstick Lip Balm,Korean Magic Lipstick Color Change Changing Lip Tint Tinted Stain Gloss Balm Long Lasting Waterproof Moisturizer Lipstick Set for Women","Juan Rodriguez","It’s definitely not the worst, the color stains my lips for about the whole day even if I only put a bit on. They are cute but like I said they do stink, I can’t describe the smell it smells like those candy gummy bananas or peaches that never really taste good. They are cute but I can’t tell if the smell from wearing it gives me a headache or if it’s something else. The packaging is cute and so is the color but the smell just throws it off for me.","Reviewed in the United States on 20 October 2022","4.0 out of 5 stars"
"14","Lipstick","BINGBRUSH 3 Pcs Color Changing Change Lipstick Lip Balm,Korean Magic Lipstick Color Change Changing Lip Tint Tinted Stain Gloss Balm Long Lasting Waterproof Moisturizer Lipstick Set for Women","Juan Rodriguez","Came in a hugr box. Wasteful shipling besides that the colors are very simiular. I tried them out upon arrival and instantly colors did change a bit. The lighter pink one turned into a deeper wine color. As shown above. But nothing major. The sent and taste kinda threw me but it was so suddle and than was gone it didnt both me enough to not like them. And it could of been no added fragrance that i am smelling if that makes since. Anywho.. Have yet to see how theh wear. But, in my opinion they are worth the money..","Reviewed in the United States on 12 May 2022","4.0 out of 5 stars"
"15","Lipstick","BINGBRUSH 3 Pcs Color Changing Change Lipstick Lip Balm,Korean Magic Lipstick Color Change Changing Lip Tint Tinted Stain Gloss Balm Long Lasting Waterproof Moisturizer Lipstick Set for Women","Sara kathryn","The cases are cute..the balm is just ok! They do have a slight tint .. all three colors ..although supposed to be different ultimately look the same.When applied the result looks nothing like the depiction.  It’s not a creamy or glossy look it’s just a flat matte look. I did feel like the balm stayed on for a bit longer than I assumed. It’s just ok but can’t in good judgment recommend the purchase.","Reviewed in the United States on 16 April 2023","4.0 out of 5 stars"
"16","Lipstick","BINGBRUSH 3 Pcs Color Changing Change Lipstick Lip Balm,Korean Magic Lipstick Color Change Changing Lip Tint Tinted Stain Gloss Balm Long Lasting Waterproof Moisturizer Lipstick Set for Women","Sara kathryn","I should've looked at it more closely... but I trusted the title when I read, ""KOREAN MAGIC LIP BLAM...."".  I bought the 3-pc color changing Korean magic lip balm set & all I saw was CHINESE writings + MADE in CHINA.I'm Korean and if I looked at the 3rd pic, I would've never bought it.  Korean products just meet higher standards in just about all criteria since most of us are perfectionist... lol.I couldn't tell you much about the product since I didn't open one I realized it's a Korean-Item-Wannabe, I'm just returning it straight back.There's not even the same claim of ""Korean Magic..."" written on the actual products either.  Scam...","Reviewed in the United States on 13 November 2022","4.0 out of 5 stars"
"17","Lipstick","BINGBRUSH 3 Pcs Color Changing Change Lipstick Lip Balm,Korean Magic Lipstick Color Change Changing Lip Tint Tinted Stain Gloss Balm Long Lasting Waterproof Moisturizer Lipstick Set for Women","gammy","Pintan un poco más que otros que he comprado y si dura un poco más. Hay que pasarse varias veces para que realmente se note algo de pigmentación","Reviewed in the United States on 31 July 2023","4.0 out of 5 stars"
"18","Lipstick","BINGBRUSH 3 Pcs Color Changing Change Lipstick Lip Balm,Korean Magic Lipstick Color Change Changing Lip Tint Tinted Stain Gloss Balm Long Lasting Waterproof Moisturizer Lipstick Set for Women","√ jεn","I loved this product, I recommend it!","Reviewed in the United States on 14 November 2023","3.0 out of 5 stars"
"19","Lipstick","BINGBRUSH 3 Pcs Color Changing Change Lipstick Lip Balm,Korean Magic Lipstick Color Change Changing Lip Tint Tinted Stain Gloss Balm Long Lasting Waterproof Moisturizer Lipstick Set for Women","Marcela Zamora","I got the 3 piece set with the pink-and-blue cases. It feels and applies like lip balm, and lasts about as much as an average lip balm as well.Seeing how it changes colors in your lips is fun. I personally didn't like the orange-y one on my skin tone and gave it away. The other two I basically can't tell apart but they're a cute shade of pink and I don't mind.","Reviewed in the United States on 12 October 2022","3.0 out of 5 stars"
"20","Lipstick","BINGBRUSH 3 Pcs Color Changing Change Lipstick Lip Balm,Korean Magic Lipstick Color Change Changing Lip Tint Tinted Stain Gloss Balm Long Lasting Waterproof Moisturizer Lipstick Set for Women","Jade","I like color changing lip gloss because the color seems to last longer than traditional lipsticks. These each have a slightly different hue after the color comes out. The gloss is light and smells nice. It does need to be reapplied often Bs use it is so light but a bit of the color stays longer than the moisture. I’ve been using a color changing lipstick by It…this one is just as effective and much less expensive. I will be buying this again.","Reviewed in the United States on 18 April 2023","3.0 out of 5 stars"
"21","Lipstick","BINGBRUSH 3 Pcs Color Changing Change Lipstick Lip Balm,Korean Magic Lipstick Color Change Changing Lip Tint Tinted Stain Gloss Balm Long Lasting Waterproof Moisturizer Lipstick Set for Women","Freda Day ong","I like the quality, and looks when it applied to the lips.. however it doesnt last long., but basically it looks good to me.. recommended","Reviewed in the United States on 24 February 2023","4.1 out of 5 stars"
