"","category","name","reviewer","review","date","ratings"
"1","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","puhoidreamer","Love love the color","Reviewed in Australia on 8 January 2024","4.3 out of 5 stars"
"2","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Ajgaston","Its exactly the colour in pics, lovely coloured pink . Very happy with product","Reviewed in Australia on 22 November 2023","5.0 out of 5 stars"
"3","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Paula","Item was a little late but it has arrived now.Revlon is a great brand and colour is as in the pic.","Reviewed in Australia on 14 August 2023","5.0 out of 5 stars"
"4","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Larry","great color","Reviewed in the United States on 31 December 2023","4.0 out of 5 stars"
"5","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Samia","It's to sheer almost transparent its comes off fast  not very happy with it.","Reviewed in Canada on 29 August 2020","5.0 out of 5 stars"
"6","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Florence H","la couleur de ce rouge à lèvre est très subtile, scintillante mais qui s'adapte très bien à différents types de maquillages ou de tenue. Exactement ce que je cherchais","Reviewed in France on 16 April 2015","1.0 out of 5 stars"
"7","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Valerie Walker","I have used Revlon lipstick for as long as I can remember but have not beenable to get my favourite one for some years so, sadly, it must be discontinued.I am trying this but some of the write-ups are not very complimentaryso I will be looking elsewhere in future.  This seems to be how it iswith cosmetic manufacturers.","Reviewed in the United Kingdom on 22 June 2023","5.0 out of 5 stars"
"8","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Fred Packer","love it😃","Reviewed in France on 18 December 2023","4.0 out of 5 stars"
"9","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Bijiaoui","Excellent produit.. introuvable sur le marché en France.. en tous cas pas dans mon département... après avoir cherché en vain... j'ai enfin trouvé! merci Amazone","Reviewed in France on 18 January 2013","5.0 out of 5 stars"
"10","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Poppy red","I love Revlon products all of them, but I love their lipsticks. I wish I could get matching nail polish, as I used to in my youth. !!","Reviewed in the United Kingdom on 28 December 2021","5.0 out of 5 stars"
"11","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Brendy G.","Very soft and buttery application. The color is beautiful but it does easily smudge onto things, but Idc I love it","Reviewed in the United States on 9 November 2022","4.3 out of 5 stars"
"12","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Brendy G.","Wasn't sure this color was going to be good for me but, after trying on loved not quite as dark as it looked in toob, light shimmery perfect and I'm fair skined!","Reviewed in the United States on 5 October 2023","5.0 out of 5 stars"
"13","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","LouAnn Oertel","Minha esposa comentou que a cor não corresponde ao que aparece na imagem. Detestou e não comprará mais dessa empresa. Leu que há ouros comentários internacionais na mesma linha. Portanto, a empresa deveria ter se adequado.","Reviewed in Brazil on 18 March 2020","5.0 out of 5 stars"
"14","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Gilmar José do Valle","Very please with lipstick.I ordered again.price is GREAT---Color WONDERFUL!!","Reviewed in the United States on 29 December 2023","5.0 out of 5 stars"
"15","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","julia g.","I bought 2 lipsticks as stated  per quantity but it seems quiet much for 2 Revlon lipsticks but at least the description made is genuine and the product looks high quality","Reviewed in Singapore on 4 September 2023","1.0 out of 5 stars"
"16","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","nuruladlina321","Had a different colour to my normal one I have to admit I’m not disappointed it really is a lovely colourThe price was very reasonable too","Reviewed in the United Kingdom on 28 February 2024","5.0 out of 5 stars"
"17","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Mo","Produto excelente e entregue antes do prazo.","Reviewed in Brazil on 29 October 2023","5.0 out of 5 stars"
"18","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Miriam","Great","Reviewed in Canada on 25 July 2017","5.0 out of 5 stars"
"19","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Colin MacPherson","Ne correspond pas à la couleur! Dommage j’espérais un rose très pâle comme sur la description....déçue de mon achat tant pis pour moi!","Reviewed in France on 7 March 2018","5.0 out of 5 stars"
"20","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","ROBERT","Love this color lipstick. The seller was amazing. Got it quickly and packaged very nicely.","Reviewed in the United States on 8 February 2024","5.0 out of 5 stars"
"21","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Amazon Customer","Favorite","Reviewed in the United States on 2 June 2022","4.3 out of 5 stars"
"22","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Linda","Relvon is my favorite lipstick brand.  I love the color and how creamy it is.","Reviewed in the United States on 10 December 2023","5.0 out of 5 stars"
"23","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Elisa Guerin","I got the shade pink cognito, it's definitely quite sheer but very pretty and still shows up","Reviewed in the United Kingdom on 12 January 2023","5.0 out of 5 stars"
"24","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Luigi","Lipsticks came intact! Have been using them for awhile.","Reviewed in the United States on 15 July 2021","4.0 out of 5 stars"
"25","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Kirane","Bon produit, contente de l'achat je recommande","Reviewed in France on 3 April 2019","5.0 out of 5 stars"
"26","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","stacie riley","I love this shade and I can’t always find it! It’s a perfect creamy light pink .","Reviewed in the United States on 19 May 2020","3.0 out of 5 stars"
"27","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Sarah","I ordered Pink Pearl which is a soft frosted pink suitable for brunettes (not just blondes) that is neutral with just a touch of color and shine and the moisture to keep your lips from feeling dry or cracked in these cold winter months.","Reviewed in the United States on 3 December 2023","5.0 out of 5 stars"
"28","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Cat","TOP","Reviewed in France on 25 December 2018","4.0 out of 5 stars"
"29","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","kassy","Bought as a gift.  Recipient  happy and loves the colour and texture.","Reviewed in the United Kingdom on 24 February 2024","5.0 out of 5 stars"
"30","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g","Sandra L Heinack","This is the only color I like for my lipstick.  It is very creamy and I just add little lip gloss on top for shine.","Reviewed in the United States on 3 November 2023","5.0 out of 5 stars"
