"","category","name","reviewer","review","date","ratings"
"1","Lipstick","L'Oréal Paris Rouge Signature Matte Lip Ink 116 I Explore","Tamoir","Great lipstick. Lasts for hours.","Reviewed in Australia on 14 November 2023","4.2 out of 5 stars"
"2","Lipstick","L'Oréal Paris Rouge Signature Matte Lip Ink 116 I Explore","Amazon Customer","This is a photo of my lips, untouched for over 7hrs. I used a brown lip pencil to tone down the red but I'm very happy with the look, feel and long lasting lip gloss. It's not dry like some can get. I'm very happy and will try and get a red lip pencil now to see how it goes with it. I'll be purchasing other colours in this brand too.","Reviewed in Australia on 23 July 2023","5.0 out of 5 stars"
"3","Lipstick","L'Oréal Paris Rouge Signature Matte Lip Ink 116 I Explore","Tamoir","Nice colour and it lasts. good value of money","Reviewed in Australia on 14 November 2023","3.0 out of 5 stars"
"4","Lipstick","L'Oréal Paris Rouge Signature Matte Lip Ink 116 I Explore","Becca C","Very smooth and nice smell. the spatula works so good. My lips are sensitive but no troubles so far.","Reviewed in Australia on 28 January 2021","5.0 out of 5 stars"
"5","Lipstick","L'Oréal Paris Rouge Signature Matte Lip Ink 116 I Explore","Becca C","I fell in love with the colour of this lipstick however, i got allergic reaction after using it for just 2 days. I got white bumps on my lips. Seems my skin is super sensitive. Won't use this lipstick again.","Reviewed in Australia on 11 July 2021","5.0 out of 5 stars"
"6","Lipstick","L'Oréal Paris Rouge Signature Matte Lip Ink 116 I Explore","Tanya","I gifted it to my friend and she loved it.","Reviewed in Australia on 17 November 2019","5.0 out of 5 stars"
"7","Lipstick","L'Oréal Paris Rouge Signature Matte Lip Ink 116 I Explore","Emma","Didn't deliver the result I wanted, colour shade is too dark, and application didn't last as long as t says","Reviewed in Australia on 23 July 2023","4.0 out of 5 stars"
"8","Lipstick","L'Oréal Paris Rouge Signature Matte Lip Ink 116 I Explore","Amazon Customer","I adore matte lip gloss, and love this colour, but it's deceptively named. It functions as a lip stain or tint which doesn't suit my lips at all. (Burns slightly on application, shows up any dry skin, and doesn't last as long especially when eating).If you want a tint you'll love it. If you want a matte gloss you'll probably be pretty disappointed.","Reviewed in Australia on 11 December 2019","5.0 out of 5 stars"
"9","Lipstick","L'Oréal Paris Rouge Signature Matte Lip Ink 116 I Explore","Amazon Customer","Super fast delivery, quality brand at great price. Glides on easy and lasts through the day. The natural light colour and Matt finish is flattering for mature skin. Recommend.","Reviewed in Australia on 25 December 2022","3.0 out of 5 stars"
"10","Lipstick","L'Oréal Paris Rouge Signature Matte Lip Ink 116 I Explore","Marie","The colour is exactly like I imagined from the picture and the formula is sheer but buildable wich is rare for matte lipsticks! It is comfertable and light on the lips and not sticky or clumpy at all. It lasts a long time and it doesn't look horrible as it rubs off, it sort of just fades away wich is much nicer than when it crumbles or smudges away.","Reviewed in Australia on 8 March 2023","5.0 out of 5 stars"
"11","Lipstick","L'Oréal Paris Rouge Signature Matte Lip Ink 116 I Explore","Tamoir","Mir gefällt die Farbe und die Konsistenz. Er lässt sich sehr leicht und sehr genau auftragen und fühlt sich unsichtbar an auf den Lippen und dabei sehr hoch pigementiert. Super Preis/Leistungsverhältnis.","Reviewed in Australia on 14 November 2023","4.2 out of 5 stars"
