"","category","name","reviewer","review","date","ratings"
"1","Lipstick","NYX Professional Makeup Powder Puff Lippie - Squad Goals","Jenni Veenstra","Hard to get colour out but very nice colour","Reviewed in Australia on 1 August 2021","4.3 out of 5 stars"
"2","Lipstick","NYX Professional Makeup Powder Puff Lippie - Squad Goals","Sue","not chalky on your lips, actually very creamy. Good amount of pigment.","Reviewed in Australia on 14 September 2020","5.0 out of 5 stars"
"3","Lipstick","NYX Professional Makeup Powder Puff Lippie - Squad Goals","Marie Collins","Looks 5 shades lighter than what you see on the phone. More a bright pink colour.","Reviewed in Australia on 25 August 2023","5.0 out of 5 stars"
"4","Lipstick","NYX Professional Makeup Powder Puff Lippie - Squad Goals","Andrea S","The colour didn't match the picture at all. It is hot pink, yuck. But worst of all the lipstick doesn't stay on properly, cakes around lines and makes my lips look stained. Comes off super easily. No idea why this has so many good reviews.","Reviewed in Australia on 22 January 2022","1.0 out of 5 stars"
"5","Lipstick","NYX Professional Makeup Powder Puff Lippie - Squad Goals","こだわり消費さん","マット感を演出したい時には、うってつけの商品だと思います！とにかくマット！重ねれば重ねるほど色味が重なり濃くなっていきます。好きな濃さを調整できるタイプです。ポンポンと優しく唇に塗布するだけで、薄づきマット唇が出来上がります！！","Reviewed in Japan on 22 February 2021","1.0 out of 5 stars"
"6","Lipstick","NYX Professional Makeup Powder Puff Lippie - Squad Goals","Esiah","Es mi marca y artículo para labios favorito.Me encanta su textura. Es mate pero hidratante, no reseca, parece que no llevas nada en los labios y tienen muchos colores. A mí me encanta el nude y el número 1 color marrón que en mis labios se ve súper natural, también. Los uso a diario. Durán un montón y no se manchan o rompen por el formato en el que vienen. Tampoco es necesario perfilador. Y de precio están más baratos en Amazon que en la propia página de NYX.","Reviewed in Spain on 31 August 2021","5.0 out of 5 stars"
"7","Lipstick","NYX Professional Makeup Powder Puff Lippie - Squad Goals","🄽🄰🅃🅂🅄🄼🄸","薄くも濃くもできてめっちゃ使いやすいです！良い色！ハーフメイクにピッタリ！注文した翌日に届きました！","Reviewed in Japan on 17 June 2020","5.0 out of 5 stars"
"8","Lipstick","NYX Professional Makeup Powder Puff Lippie - Squad Goals","erika","Per me fantastico!! Il colore è stupendo la durata abbastanza se non mangi e bevi ma il colore ragazze è il top Nyx sempre una garanzia !! È anche idratante","Reviewed in Italy on 1 March 2023","5.0 out of 5 stars"
"9","Lipstick","NYX Professional Makeup Powder Puff Lippie - Squad Goals","R","Different to most lipsticks I have tried. Has a soft brush like tip which you dab on your lips to get the colour,leaves a gorgeous powdery nude colour. I would not say it is particularly long lasting but lasts longer than the standard glossy lipsticks.","Reviewed in the United Kingdom on 7 September 2023","5.0 out of 5 stars"
"10","Lipstick","NYX Professional Makeup Powder Puff Lippie - Squad Goals","Sausage mum","Super rouge a lèvres , très beaux et super texture en plus animal cruelty free","Reviewed in France on 6 October 2023","5.0 out of 5 stars"
