"","category","name","price","ratings","no_of_reviews"
"44","Lipstick","KIKO Milano Green Me Matte Lipstick 100 | Comfort Lipstick with Matte Finish","$20.84","4.3 out of 5 stars","110"
"45","Lipstick","L'Oréal Paris Color Riche 118 French Made","$64.57","4.1 out of 5 stars","378"
"46","Lipstick","essence ELECTRIC GLOW colour changing lipstick","$21.34","4.2 out of 5 stars","1,291"
"47","Lipstick","MAYBELLINE Lip SP Stay Vinil Ink 61 Dangerous Mahogany Brown","$34.07","4.0 out of 5 stars","1,064"
"48","Lipstick","KIKO Milano Long Lasting Colour Lip Marker 109 | Lipstick No Transfer, Natural Tattoo Effect and Extremely Long Lasting (10 Hours)","$22.56","3.7 out of 5 stars","1,714"
"49","Lipstick","Revlon Super Lustrous Lipstick Violet Frenzy 0.15 oz./4.2 g. Violet Frenzy","$26.62","4.4 out of 5 stars","15,258"
"50","Lipstick","Rimmel London Stay Matte Liquid Lip Colour #700 - Be My Baby","$42.02","3.9 out of 5 stars","541"
"51","Lipstick","NYX Professional Makeup Powder Puff Lippie - Squad Goals","$9.02","4.3 out of 5 stars","8,100"
"52","Lipstick","Honest Lip Crayon Lush Sheer - Rose Women Lipstick 0.105 oz","$25.43","4.1 out of 5 stars","889"
"53","Lipstick","L.A. Colors Moisture Rich Lip Color, Pink Parfait, 1 Ounce",NA,"4.0 out of 5 stars","494"
"54","Lipstick","Rimmel London Lasting Finish Matte Lipstick 2.3 g, 600 Tangerina",NA,"3.7 out of 5 stars","38"
"55","Lipstick","Yves Saint Laurent Rouge Volupte Shine Oil-in-stick Lipstick",NA,"4.6 out of 5 stars","2,932"
"56","Lipstick","Maybelline SuperStay Matte Ink Liquid Lipstick, Long-lasting Matte Finish Liquid Lip Makeup, Coffee Edition, Highly Pigmented Color, Hazelnut Hypnotizer, Fl Oz",NA,"4.3 out of 5 stars","2,327"
"57","Lipstick","Revlon Super Lustrous Lipstick, 042 Lilac Mist, 4.2 g",NA,"4.4 out of 5 stars","5,042"
"58","Lipstick","Revlon Ultra HD Matte Lipcolor, HD Kisses",NA,"4.3 out of 5 stars","455"
"59","Lipstick","L'Oreal Color Riche Lipstick",NA,"4.4 out of 5 stars","4,126"
"60","Lipstick","Maybelline Super Stay Vinyl Ink Longwear Liquid Lipcolor, Punchy, 4.1 ml",NA,"4.3 out of 5 stars","2,584"
"61","Lipstick","L'Oréal Paris Colour Riche Matte Lipstick, Velvet Smooth, with Precious Camellia and Jojoba Oils, 655 Copper Clutch",NA,"4.0 out of 5 stars","302"
"62","Lipstick","L'Oréal Paris Colour Riche Shine Addiction Lipstick Enriched with Vivid Pigments with a Hydrating Feel, 245 High On Craze",NA,"4.4 out of 5 stars","9,268"
"63","Lipstick","Rimmel London Lasting Finish Extreme Lipstick 2.3 g, 700 X-Tremely Bare",NA,"4.2 out of 5 stars","21,589"
"64","Lipstick","Revlon Super Lustrous Glass Shine Lipstick, Fire and Ice (5), 4.25 g",NA,"4.1 out of 5 stars","87"
"65","Lipstick","wet n wild Silk Finish Lip Stick, Just Garnet, 0.13 Ounce",NA,"4.2 out of 5 stars","641"
"66","Lipstick","NYX PROFESSIONAL MAKEUP, Smooth Whip, Matte Lip Cream, Shea + cocoa butter, Vegan Formula - 05 PARFAIT (Red Brick Brown)",NA,"3.9 out of 5 stars","13"
"67","Lipstick","KIKO Milano Unlimited Stylo 01 | Long-Lasting 10-Hour Hold Creamy Lipstick",NA,"4.5 out of 5 stars","89"
"68","Lipstick","Etude Fixing Tint Bar, Clear Berry, Lipstick, Tint",NA,"4.0 out of 5 stars","225"
"69","Lipstick","COVERGIRL Curvy Couture Women's Plus Size Sexy Sheer Mesh Plunge T-Shirt Bra for Valentine's Day",NA,"4.5 out of 5 stars","711"
"70","Lipstick","Bourjois Lipstick, 1.2 ml",NA,"4.0 out of 5 stars","2,756"
"71","Lipstick","Rimmel London Lasting Finish Lipstick - 086 Sugar Plum",NA,"4.5 out of 5 stars","5"
"72","Lipstick","(Cherry Wood Creme) - Julep It's Balm Lip Balm Crayon, Full-Coverage Lipstick & Lip Moisturiser with Semi Gloss Finish, Cherry Wood Creme",NA,"4.0 out of 5 stars","101"
"73","Lipstick","Golden Rose Longstay Liquid Matte Lipstick - 30,",NA,"4.3 out of 5 stars","765"
"74","Lipstick","Rimmel (RIMMZ) Lasting Finish Matte Lipstick 145 Peach Petal",NA,"4.2 out of 5 stars","3"
"75","Lipstick","Revlon ColorStay Lipstick Suede Ink Hot Girl",NA,"4.5 out of 5 stars","463"
"76","Lipstick","L'Oreal Paris Infallible 2-Step Lip Colour 506 Red Infallible,26 g",NA,"4.0 out of 5 stars","188"
"77","Lipstick","Urban Decay | Vice Lipstick | Lipstick | Moisturising | High Coverage | Vegan | 3.4 g",NA,"3.8 out of 5 stars","299"
"78","Lipstick","Chifure Lipstick Y Unscented 582 Red Type, 0.1 oz (2.5 g)",NA,"4.0 out of 5 stars","505"
"79","Lipstick","3INA MAKEUP - The Longwear Lipstick 244 - Red Lipstick - Matte Lipstick with Hyaluronic Acid - Long-Lasting Highly Pigmented Liquid Lipstick - Vegan - Cruelty Free",NA,"4.4 out of 5 stars","2,353"
"80","Lipstick","Rimmel London Stay Matte Liquid Lip Colour, 709 Strapless",NA,"4.1 out of 5 stars","5,627"
"81","Lipstick","NYX 2.5g TURNT EXTREME IT UP LIPSTICK 15 TAN-GERINE (Nude Coral)","$37.87","3.3 out of 5 stars","9"
"82","Lipstick","e.l.f. - SRSLY Satin Lipstick Taffy - 0.12 oz (3.5 g)","$75.42","4.2 out of 5 stars","1,294"
"83","Lipstick","Max Factor Colour Elixir Lipstick Rosewood 030 Nourishing Lipstick with a Diamond Intense Colour Results Colour 030 Rosewood","$24.78","4.5 out of 5 stars","1,318"
"84","Lipstick","BestLand 12Pcs Matte Lipstick Lip Makeup Kit, Velvety Liquid Lipstick Waterproof Long Lasting Durable Nude Zodiac Signs Lip Gloss Beauty Cosmetics Gift Box Makeup Set Kit (12 Piece Set)","$41.60","4.2 out of 5 stars","140"
"85","Lipstick","L'Oréal Paris Color Riche Intense Volume Matte Lipstick 480 Plum Dominant (Packaging May Vary)","$42.20","3.9 out of 5 stars","140"
"86","Lipstick","Elizabeth Arden Beautiful Color Moisturizing Lipstick","$74.87","4.4 out of 5 stars","310"
"87","Lipstick","Max Factor Colour Elixir Moisture Kiss Lipstick #095 Dusky Rose 4G","$42.17","4.4 out of 5 stars","1,060"
"88","Lipstick","Honest Beauty Liquid Lipstick Vegan Formula","$31.23","3.6 out of 5 stars","2,791"
"89","Lipstick","Christian Dior Rouge Dior Forever Liquid Matte - 458 Forever Paris For Women 0.2 oz Lipstick","$84.74","4.1 out of 5 stars","9"
"90","Lipstick","Kiko MILANO - Smart Fusion Lipstick Rich and Nourishing Lip Stick With a Bright Finish | Long Lasting Lipstick | 422 Red | Cruelty Free Makeup | Professional Makeup Lipstick | Made in Italy","$23.40","4.1 out of 5 stars","123"
"91","Lipstick","Max Factor Colour Elixir Velvet Matte Lipstick #060 Mauve 4G","$39.38","4.1 out of 5 stars","193"
"92","Lipstick","Estee Lauder Pure Color Envy Sculpting Lipstick","$45.04","4.3 out of 5 stars","4,352"
"93","Lipstick","KIKO MILANO - UNLIMITED DOUBLE TOUCH Liquid Lipstick with Matte or Lip Gloss Finish | Rosy Beige | Long Lasting Lipstick | 9 Colors | Professional Makeup | Made in Italy",NA,"3.4 out of 5 stars","1,633"
"94","Lipstick","Moon Glow - Blacklight Neon UV Lipstick 0.16oz - Intense Blue – Glows Brightly Under Blacklights/UV Lighting!",NA,"4.3 out of 5 stars","167"
"95","Lipstick","Maybelline New York Lipstick, Super Stay Matte Ink Coffee, Liquid, Matte and Long-Lasting, No. 270 Cocoa Connoisseur, 5 ml",NA,"4.4 out of 5 stars","253"
"96","Lipstick","Maybelline New York Color Sensational Shine Lipstick - 060 Chocolate Lust",NA,"4.7 out of 5 stars","240"
"97","Lipstick","byAlegory Acrylic Lipstick Makeup Organiser Designed For Larger Base Lipsticks | 12 Spaces",NA,"4.3 out of 5 stars","1,407"
"98","Lipstick","NYX PROFESSIONAL MAKEUP Shout Loud Satin Lipstick Cali",NA,"4.1 out of 5 stars","5,918"
"99","Lipstick","Bourjois Rouge Edition Velvet Liquid Lipstick, Nude-Ist, 6.7ml",NA,"4.5 out of 5 stars","205"
"100","Lipstick","Maybelline New York Lipstick, Super Stay Matte Ink Coffee, Liquid, Matte and Long-Lasting, No. 275 Mocha Inventor, 5 ml",NA,"4.3 out of 5 stars","900"
"101","Dress","Women's 2023 Summer Puff Sleeve Smocked Floral Dress Crewneck Lace Flowy Tiered Midi Dresses","$218.66","4.2 out of 5 stars","1,741"
"102","Dress","Womens Summer Floral Print Puff Sleeves Vintage Ruffles Midi Dress","$56.30","4.1 out of 5 stars","2,363"
"103","Dress","Cotton Muslin Dress for Women Summer Casual Party Holiday Beach Lace Long Robe Dresses Vestido","$37.17","4.6 out of 5 stars","3"
"104","Dress","Women's V Neck Short Sleeve Ruched Drawstring Side Split Party Bodycon Midi Dress","$87.80","4.3 out of 5 stars","1,200"
"105","Dress","SWFO221069 Women's Lace Dress","$121.04","4.5 out of 5 stars","4"
"106","Dress","Cut Out Dresses for Women Summer Sleeveless Cutout Waist Bodycon Mini Tank Dress Sundress","$73.75","4.3 out of 5 stars","5,514"
"107","Dress","Women's Knee-Length Beach Dress Long Sleeves Swing Tunic Casual Dresses Summer Loose Dress Floral Print V-Neck Beach Dress Mini Dress Sexy Elegant Boho Women Blouse Dress","$67.85","4.5 out of 5 stars","170"
"108","Dress","Women's Asymmetrical Shirred Tulip Dress","$56.57","4.2 out of 5 stars","595"
"109","Dress","Women Sexy Twist Knot Front Ribbed Knit Bodycon Bandeau Tube Dress Casual Solid Strapless Maxi Long Dress",NA,"4.3 out of 5 stars","675"
"110","Dress","Women's",NA,"4.0 out of 5 stars","658"
"111","Dress","Women's 2023 Summer Boho Spaghetti Strap Square Neck Solid Color Ruffle A Line Beach Long Maxi Dress",NA,"4.3 out of 5 stars","198"
"112","Dress","Women's Short Sleeve Collared Polo Dress",NA,"3.8 out of 5 stars","15"
"113","Dress","Women Casual Summer Short Ruffles Tiered Sleeve Smocked Midi Dresses Bohemian Floral V Neck Wedding Guest Long Dresses",NA,"4.2 out of 5 stars","1,790"
"114","Dress","Satin Silk Backless Tube Tops Maxi Dress for Women Low Back Hollow Out Elegant Strapless Long Dresses Wedding Guest",NA,"4.0 out of 5 stars","416"
"115","Dress","Cocktail Plus Size Dresses Women Casual Long Sleeves O Neck Slit Irregular Hem Plus Size Long Dress Wool Dresses for Women Plus Size",NA,"3.9 out of 5 stars","1,513"
"116","Dress","Womens Casual Midi Dresses Solid V Neck Short Sleeve Button Shirt Belted Dress with Pockets for Spring Summer",NA,"4.0 out of 5 stars","308"
"117","Dress","Women's Short Sleeved Princess Seamed Sheath Dress",NA,"3.9 out of 5 stars","72"
"118","Dress","Womens Puff Sleeve Square Neck Puffy Dress Babydoll Mesh Mini Dress High Rise Flare Organza Party Dress",NA,"4.3 out of 5 stars","33,291"
"119","Dress","Women's Casual, Long Sleeve",NA,"3.2 out of 5 stars","4"
"120","Dress","Spliced Tassel Sleeveless A-line Dress for Women's Tassel Skirt",NA,"4.1 out of 5 stars","493"
"121","Dress","Indian Women's Mustard Poly Silk Ethnic Dress",NA,"2.5 out of 5 stars","3"
"122","Dress","Bodycon Dress for Woman Long Sleeve Knee-Length Ruffle Sleeve Off Shoulder Evening Dress",NA,"3.9 out of 5 stars","17,510"
"123","Dress","Women's Casual Shirt Dress Ruched 3/4 Sleeve Button Up Mini Dresses",NA,"4.3 out of 5 stars","53"
"124","Dress","Women's Retro Summer Midi Dresses Polka Dot Printed V Neck Short Sleeve Beach Party Dress High Waist A-Line Sun Dress",NA,"4.0 out of 5 stars","292"
"125","Dress","Women's Short Sleeve V-Neck Dress",NA,"4.2 out of 5 stars","13,647"
"126","Dress","Women's Casual Loose Maxi Dress Sleeveless Slit Summer Beach Dress with Pockets",NA,"4.3 out of 5 stars","161"
"127","Dress","Women's Vintage Sleeveless Solid Floral Ruched Summer Cute A-Line Flowy Swing Midi Dress",NA,"3.8 out of 5 stars","447"
"128","Dress","Women's Dress",NA,"3.9 out of 5 stars","134"
"129","Dress","Women's Floral Button Down Vintage Polka Dots Dresses Collar Tie Belted Shirt Dress",NA,"3.9 out of 5 stars","48"
"130","Dress","Women's Lace Flowy Mini Dress Y2k Sleevelss Backless Slip Dress Drop Waist Short Tunic Dress Lingerie Nightgown",NA,"4.2 out of 5 stars","152"
"131","Dress","Women's Jewel Neck Scuba Crepe Dress",NA,"3.8 out of 5 stars","7"
"132","Dress","Series 7",NA,"4.4 out of 5 stars","43"
"133","Dress","Womens Dresses V-Neck Spaghetti Strap Bowknot Backless Sleeveless Lace Mini Swing Skater Dress",NA,"3.8 out of 5 stars","25"
"134","Dress","Womens Plus Size Dresses Womens Casual Sweatshirt Dress Long Sleeve Mock Neck Wrap Hem Loose Fall Winter Long Pullover Dresses Older Women Skirts",NA,"4 Stars & Up",NA
"135","Dress","Womens Tie Dye Dress Plus Size Casual Boho Sundress Summer Sleeveless Dresses",NA,"3 Stars & Up",NA
"136","Dress","Women's Star Heart Floral Print Casual Square Neck Short Sleeve Flare Dress",NA,"2 Stars & Up",NA
"137","Dress","Women's Autumn Winter Cotton Long Sleeves Elegant Knitted Bodycon Tie Waist Sweater Pencil Dress",NA,"1 Star & Up",NA
"138","Dress","Daphne Dress Regency Dress Women's Blue Lace Dress",NA,NA,NA
"139","Dress","Women's Long Sleeve Cotton V-Neck Button Up Floral Print Boho Flowy Midi Dresses",NA,NA,NA
"140","Dress","Women's Knot Front Midi Dress",NA,NA,NA
"141","Dress","Alex Evenings","$89.48","4.0 out of 5 stars","241"
"142","Dress","Womens Summer Casual Dress Loose Batwing Sleeve Crew Neck Chiffon Cape Elegant Midi Cocktail Pencil Dresses for Women UK for Funeral Party Wedding","$154.98","4.0 out of 5 stars","357"
"143","Dress","Women's Breton Stripes Sleeveless V-Neck Stretch Cotton Polo Dress","$230.93","4.5 out of 5 stars","183"
"144","Dress","Women's Elegant V Neck Wrap Knit Dresses Batwing Sleeve Backless Slit Mini Dress","$77.39","5.0 out of 5 stars","2"
"145","Dress","Women's Dress","$91.23","3.8 out of 5 stars","7"
"146","Dress","Women's Side Waist Tie Fit and Flare Dress","$92.31","3.4 out of 5 stars","3,236"
"147","Dress","Women's Button Up Floral Print Split Beach Maxi Dresses","$150.44","3.7 out of 5 stars","144"
"148","Dress","Summer Dress for Women Long Sleeve Casual Plaid Print Smocked Off Shoulder A-Line Midi Dress","$142.42","3.6 out of 5 stars","231"
"149","Dress","Women Sexy Backless Draped Maxi Dress Elegant Sleeveless Spaghetti Strap Evening Dress Long Club Party Beach Dress","$289.93","4.2 out of 5 stars","5,638"
"150","Dress","Ladies Cute Sleeveless deep V-Neck Dress, Summer Casual Dress","$107.16","4.0 out of 5 stars","174"
"151","Dress","Women Vintage Elastic Square Neck Ruffled Half Sleeve Summer Backless Beach Flowy Maxi Dresses","$102.74","4.0 out of 5 stars","126"
"152","Dress","Women's Audrey Spaghetti Strap Midi A-line 3D Floral Dress","$248.35","4.3 out of 5 stars","1,793"
"153","Dress","MedeShe Women's Christmas Long Sleeve V Neck Velvet Maxi Dress","$65.35","4.0 out of 5 stars","985"
"154","Dress","Womens Cotton Embroidered High Low Long Dresses","$98.84","4.2 out of 5 stars","599"
"155","Dress","Women's Long-Sleeved Mini Dress Checked Dress Turtleneck Knitted Dress A-line Sweater Autumn Dress Loose Dresses Pullover Dress for Winter Autumn",NA,"4.3 out of 5 stars","504"
"156","Dress","Women's Tunic Dress Fall Linen Button Down Long Sleeves Casual Mini Shirt Dress",NA,"4.3 out of 5 stars","111"
"157","Dress","Women's 2 Piece Mesh Panel Beaded Neck Jacket Dress",NA,"4.2 out of 5 stars","21,317"
"158","Dress","Women's Midi Dress",NA,"4.0 out of 5 stars","348"
"159","Dress","Women's Summer Maxi Dress Casual Loose Pockets Long Dress Short Sleeve Split",NA,"4.6 out of 5 stars","15"
"160","Dress","Women's Polka Dot Slim Fit Half Sleeve Dresses Square Collar Long Midi Dress",NA,"4.2 out of 5 stars","1,122"
"161","Dress","Women's Shift Dress",NA,"5.0 out of 5 stars","2"
"162","Dress","Women's Summer Dress Square Neck Short Sleeves Crossover Waist Casual Party Mini Dress",NA,"4.3 out of 5 stars","52"
"163","Dress","Women's Slit V Neck Maxi Long Dress, Summer Solid Casual Smocked Waist Boho Vacation Party Beach Dress Evening Maxi Dress for Women 2023 (Color : Dark Green, Size : Medium)",NA,"3.2 out of 5 stars","10"
"164","Dress","Elegant Long-Sleeved Dress Long-Sleeve Women Fall Spring V Neck Long Sleeve Flower Print A-line Loose Hem Big Swing High Tight Waist Lady Prom Party",NA,"3.9 out of 5 stars","431"
"165","Dress","Sam Feldt, Mr. White, YAX.X and Robin Schulz - Sensation",NA,"4.4 out of 5 stars","53,153"
"166","Dress","Women's Twist Neck Halter Maxi Dress",NA,"4.1 out of 5 stars","355"
"167","Dress","Women`s Summer Dress Chest Bow V-Neck Short Sleeve Boho Floral Printed Swing Above The Knee Mini Dress",NA,"3.9 out of 5 stars","1,718"
"168","Dress","Women's Casual Day Dress",NA,"3.7 out of 5 stars","2,571"
"169","Dress","Women's Kendall 3/4 Elbow Bell Sleeve Sheath Dress",NA,"4.0 out of 5 stars","33"
"170","Dress","Women's Sleeveless Mini A-Line Fit and Flare Plaid Dress",NA,"4.3 out of 5 stars","1,603"
"171","Dress","Women's Tunics Tops Bell Short Sleeve Lace Casual T Shirts Blouse",NA,"4.0 out of 5 stars","9,528"
"172","Dress","Women's Short Sleeve Blouson Beaded Gown",NA,"4.2 out of 5 stars","206"
"173","Dress","Women's Summer Straps Cotton Irregular Polka Dot Ruffles Midi Dress",NA,"4.3 out of 5 stars","46"
"174","Dress","Women's Summer Cotton Polka Dots Puff Sleeves Bow Casual Off-Shoulder Boho Midi Dress",NA,"4.2 out of 5 stars","467"
"175","Dress","Women's Vest_Sole Casual Dress",NA,"4.4 out of 5 stars","501"
"176","Dress","Women's Maxi Bodycon Dress Sexy Spaghetti Strap Sleeveless Tight Slip Long Dresses 2023",NA,"4.1 out of 5 stars","1,136"
"177","Dress","Women's Halter V-Neck Patchwork Mini Short Dresses",NA,"4.3 out of 5 stars","161"
"178","Dress","Sharagano",NA,"4.1 out of 5 stars","7"
"179","Dress","Women's Scuba Crepe Cold Shoulder Dress",NA,"4.1 out of 5 stars","244"
"180","Dress","Women's Plaid Square Neck Ruffle Puff Sleeve Midi Dress Summer Boho Backless Smocked Dress",NA,"4.3 out of 5 stars","2,020"
"181","Dress","Women's Scuba Crepe Cold Shoulder Dress","$248.35","4.3 out of 5 stars","46"
"182","Dress","Women's Plaid Square Neck Ruffle Puff Sleeve Midi Dress Summer Boho Backless Smocked Dress","$104.25","4.2 out of 5 stars","467"
"183","Dress","Women's Long Shift Dress Illusion Neckline (Petite and Regular)","$65.35","4.4 out of 5 stars","501"
"184","Dress","Womens Short Sundress Flowy Boho Beach Dress with Embroidered V Neck, Casual Sexy Summer Party Dress","$98.84","4.0 out of 5 stars","45"
"185","Dress","Women's Sneaker Dress","$100.91","3.9 out of 5 stars","30"
"186","Dress","Women's Floral Vintage V Neck 3/4 Sleeves Flare Button Front Midi Dress","$81.15","3.2 out of 5 stars","23"
"187","Dress","Women's Midi Dress","$56.86","3.4 out of 5 stars","7"
"188","Dress","Women's Livia Midi High Dress","$199.03","4.1 out of 5 stars","7"
"189","Dress","Women's","$372.25","4.1 out of 5 stars","244"
"190","Dress","Women's Contrast Doll Collar Short Sleeves Above Knee Flare Dress","$187.66","4.3 out of 5 stars","2,020"
"191","Dress","Women Vintage 1950s Retro Rockabilly Prom Dresses Cap-Sleeve","$19.89","4.3 out of 5 stars","16,843"
"192","Dress","Women T Shirt Dress Crew Neck Loose Plain Casual Plus Size Midi Dress with Pockets","$79.87","1.0 out of 5 stars","2"
"193","Dress","Women's Sneaker Dress","$223.54","4.6 out of 5 stars","451"
"194","Dress","Women's Vest_Kameron Casual Dress","$297.08","4.4 out of 5 stars","137"
"195","Dress","Women's Shirt Dresses Sleeveless V Neck Midi Dress Striped Pleated Ruffle Tunic Tops Casual Dress with Button","$83.11","4.1 out of 5 stars","586"
"196","Dress","Womens Summer Long Sleeve Cardigan Sexy Maxi Dresses","$91.84","3.8 out of 5 stars","5,122"
"197","Dress","Women's Bohemian Vacation Beach Dress Ruffle Sleeve Belt Loose Front Slit Midi Dress","$116.12","4.4 out of 5 stars","613"
"198","Dress","Women's 2023 Summer Boho Spaghetti Strap Square Neck Solid Color Ruffle A Line Beach Long Maxi Dress",NA,"4.1 out of 5 stars","1,176"
"199","Dress","ZESICA",NA,"5.0 out of 5 stars","4"
"200","Dress","Women's Woman Knit Dress Long Sleeve",NA,"4.0 out of 5 stars","1"
