"","category","name","price","ratings","no_of_reviews"
"43","Lipstick","Maybelline New York Superstay Vinyl Ink Liquid Lipstick 4.2 ml, Upbeat","$131.02","4.4 out of 5 stars","9"
"44","Lipstick","This Year's Model","$35.71","4.7 out of 5 stars","498"
"45","Lipstick","Fly London Women's Pacy415fly Sandal","$0.00","3.5 out of 5 stars","9"
"46","Lipstick","Rimmel London Lasting Finish Extreme Lipstick 2.3 g, 700 X-Tremely Bare","$0.00","4.0 out of 5 stars","304"
"47","Lipstick","L’Oréal Paris Colour Riche Satin Lipstick 111 Oui","$71.83","4.4 out of 5 stars","90"
"48","Lipstick","Revlon Super Lustrous Matte Lipstick 4.2 g, No. 001 Nude Attitude","$29.44","4.1 out of 5 stars","5,645"
"49","Lipstick","NYX Cosmetics Matte Lipstick Spirit","$32.18","4.1 out of 5 stars","95"
"50","Lipstick","Exhibitionist Demi Matte Lipstick - 470 Peacock by CoverGirl for Women - 0.12 oz Lipstick","$31.57","4.1 out of 5 stars","1,121"
"51","Lipstick","NYX Professional Makeup Powder Puff Lippie - Squad Goals","$0.00","4.3 out of 5 stars","8,121"
"52","Lipstick","L'Oréal Paris Rouge Signature Matte Lip Ink 116 I Explore","$6.86","4.2 out of 5 stars","8,664"
"53","Lipstick","Lipstick Kiss: A Small Town Friends to Lovers Romance (The Turners of Copper Island Book 3)","$11.99","4.7 out of 5 stars","9"
"54","Lipstick","Lip Art: DIY Lipstick MakeUp","$0.00","4.4 out of 5 stars","355"
"55","Lipstick","Rimmel lasting finish extreme lipstick","$0.00","4.4 out of 5 stars","1,406"
"56","Lipstick","Triumph Women's Amourette 300 Underwire Bra","$37.28","4.4 out of 5 stars","7,292"
"57","Lipstick","Maybelline New York Superstay Matte Ink Liquid Lipstick - 75 Fighter","$93.28","4.4 out of 5 stars","157"
"58","Lipstick","3Ina The Lipstick - 845 Sky Blue For Women 0.16 oz Lipstick","$39.70","4.1 out of 5 stars","496"
"59","Lipstick","Lipstick Lips - Coquette Journal - Pink Lips","$0.00","4.5 out of 5 stars","517"
"60","Lipstick","Benecos Benecos Natural Lipstick Soft Coral, 4.5 ml","$0.00","4.8 out of 5 stars","277"
"61","Lipstick","Makeup Artist - Lipstick Maker","$44.51","4.4 out of 5 stars","371"
"62","Lipstick","TheBalm Meet Matte Huges",NA,"3.6 out of 5 stars","107"
"63","Lipstick","The Glamorous Life",NA,"4.1 out of 5 stars","127"
"64","Lipstick","Wine, Whiskey, & Lipstick (Book 1) (Seduction in Summer)",NA,"4.4 out of 5 stars","114"
"65","Lipstick","Covergirl Exhibitionist Ultra Matte Lipstick #600 Stay With Me 2.8G",NA,"4.7 out of 5 stars","3,607"
"66","Lipstick","Fly London Women's",NA,"3.9 out of 5 stars","21"
"67","Lipstick","My Lady Lipstick",NA,"4.3 out of 5 stars","8,582"
"68","Lipstick","iDesign The Sarah Tanno Collection Plastic Lipstick Organizer, 8"" x 4"" x 2"", Clear",NA,"4.1 out of 5 stars","37"
"69","Lipstick","DIY Lip Art : Lipstick Artist",NA,"4.4 out of 5 stars","6,587"
"70","Lipstick","The Lipstick Lesbian Club Part 1: My Submissive Ex-Girlfriend",NA,"4.4 out of 5 stars","9,043"
